From the Tournament-Database of Chess-Results https://chess-results.com,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1.Liga Východ 2025/26 ,,,,,
Last update 05.09.2025 15:44:36,,,,,
Team-Pairings of all rounds,,,,,
Round 1 on 2025/10/25 at 11:00,,,,,
No.,Team,Team,Res.,:,Res.
1,UPJŠ Košice,LŠŠ Tatran - Zakamenné,,:,
2,TJ Slávia TU Košice,Liptovská šachová škola B,,:,
3,MŠK KdV Kežmarok,ŠK Zemplín Michalovce,,:,
4,OŠK Margecany,Šachy Reinter  B Humenné,,:,
5,ŠK Junior CVC B. Bystrica,ŠK Stropkov+Svidník,,:,
6,ŠK Čebovce  B,BŠK Bardejov,,:,
Round 2 on 2025/10/26 at 09:00,,,,,
No.,Team,Team,Res.,:,Res.
1,UPJŠ Košice,Liptovská šachová škola B,,:,
2,TJ Slávia TU Košice,LŠŠ Tatran - Zakamenné,,:,
3,MŠK KdV Kežmarok,Šachy Reinter  B Humenné,,:,
4,OŠK Margecany,ŠK Zemplín Michalovce,,:,
5,ŠK Junior CVC B. Bystrica,BŠK Bardejov,,:,
6,ŠK Čebovce  B,ŠK Stropkov+Svidník,,:,
Round 3 on 2025/11/15 at 11:00,,,,,
No.,Team,Team,Res.,:,Res.
1,Šachy Reinter  B Humenné,TJ Slávia TU Košice,,:,
2,ŠK Zemplín Michalovce,UPJŠ Košice,,:,
3,MŠK KdV Kežmarok,ŠK Čebovce  B,,:,
4,OŠK Margecany,ŠK Junior CVC B. Bystrica,,:,
5,BŠK Bardejov,LŠŠ Tatran - Zakamenné,,:,
6,ŠK Stropkov+Svidník,Liptovská šachová škola B,,:,
Round 4 on 2025/11/16 at 09:00,,,,,
No.,Team,Team,Res.,:,Res.
1,Šachy Reinter  B Humenné,UPJŠ Košice,,:,
2,ŠK Zemplín Michalovce,TJ Slávia TU Košice,,:,
3,MŠK KdV Kežmarok,ŠK Junior CVC B. Bystrica,,:,
4,OŠK Margecany,ŠK Čebovce  B,,:,
5,BŠK Bardejov,Liptovská šachová škola B,,:,
6,ŠK Stropkov+Svidník,LŠŠ Tatran - Zakamenné,,:,
Round 5 on 2025/12/06 at 11:00,,,,,
No.,Team,Team,Res.,:,Res.
1,UPJŠ Košice,TJ Slávia TU Košice,,:,
2,MŠK KdV Kežmarok,OŠK Margecany,,:,
3,Liptovská šachová škola B,LŠŠ Tatran - Zakamenné,,:,
4,ŠK Junior CVC B. Bystrica,ŠK Čebovce  B,,:,
5,Šachy Reinter  B Humenné,ŠK Zemplín Michalovce,,:,
6,BŠK Bardejov,ŠK Stropkov+Svidník,,:,
Round 6 on 2025/12/07 at 09:00,,,,,
No.,Team,Team,Res.,:,Res.
1,TJ Slávia TU Košice,OŠK Margecany,,:,
2,UPJŠ Košice,MŠK KdV Kežmarok,,:,
3,LŠŠ Tatran - Zakamenné,ŠK Čebovce  B,,:,
4,Liptovská šachová škola B,ŠK Junior CVC B. Bystrica,,:,
5,ŠK Zemplín Michalovce,ŠK Stropkov+Svidník,,:,
6,Šachy Reinter  B Humenné,BŠK Bardejov,,:,
Round 7 on 2026/01/10 at 11:00,,,,,
No.,Team,Team,Res.,:,Res.
1,MŠK KdV Kežmarok,TJ Slávia TU Košice,,:,
2,OŠK Margecany,UPJŠ Košice,,:,
3,ŠK Junior CVC B. Bystrica,LŠŠ Tatran - Zakamenné,,:,
4,ŠK Čebovce  B,Liptovská šachová škola B,,:,
5,BŠK Bardejov,ŠK Zemplín Michalovce,,:,
6,ŠK Stropkov+Svidník,Šachy Reinter  B Humenné,,:,
Round 8 on 2026/01/31 at 11:00,,,,,
No.,Team,Team,Res.,:,Res.
1,UPJŠ Košice,ŠK Stropkov+Svidník,,:,
2,TJ Slávia TU Košice,BŠK Bardejov,,:,
3,Liptovská šachová škola B,OŠK Margecany,,:,
4,LŠŠ Tatran - Zakamenné,MŠK KdV Kežmarok,,:,
5,Šachy Reinter  B Humenné,ŠK Čebovce  B,,:,
6,ŠK Zemplín Michalovce,ŠK Junior CVC B. Bystrica,,:,
Round 9 on 2026/02/01 at 09:00,,,,,
No.,Team,Team,Res.,:,Res.
1,UPJŠ Košice,BŠK Bardejov,,:,
2,TJ Slávia TU Košice,ŠK Stropkov+Svidník,,:,
3,Liptovská šachová škola B,MŠK KdV Kežmarok,,:,
4,LŠŠ Tatran - Zakamenné,OŠK Margecany,,:,
5,Šachy Reinter  B Humenné,ŠK Junior CVC B. Bystrica,,:,
6,ŠK Zemplín Michalovce,ŠK Čebovce  B,,:,
Round 10 on 2026/03/28 at 11:00,,,,,
No.,Team,Team,Res.,:,Res.
1,Liptovská šachová škola B,ŠK Zemplín Michalovce,,:,
2,LŠŠ Tatran - Zakamenné,Šachy Reinter  B Humenné,,:,
3,ŠK Junior CVC B. Bystrica,TJ Slávia TU Košice,,:,
4,ŠK Čebovce  B,UPJŠ Košice,,:,
5,BŠK Bardejov,OŠK Margecany,,:,
6,ŠK Stropkov+Svidník,MŠK KdV Kežmarok,,:,
Round 11 on 2026/03/29 at 09:00,,,,,
No.,Team,Team,Res.,:,Res.
1,Liptovská šachová škola B,Šachy Reinter  B Humenné,,:,
2,LŠŠ Tatran - Zakamenné,ŠK Zemplín Michalovce,,:,
3,ŠK Junior CVC B. Bystrica,UPJŠ Košice,,:,
4,ŠK Čebovce  B,TJ Slávia TU Košice,,:,
5,BŠK Bardejov,MŠK KdV Kežmarok,,:,
6,ŠK Stropkov+Svidník,OŠK Margecany,,:,
,,,,,
You find all details to this tournament under  https://chess-results.com/tnr1241752.aspx?lan=1,,,,,
Chess-Tournament-Results-Server: Chess-Results,,,,,
